,title,description
1895,H2O: Just Add Water,The gals in this fantasy series cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water
1896,Òlòtūré,In Lagos a journalist goes undercover as a prostitute to expose human trafficking What she finds is a world of exploited women and ruthless violence
1897,Serious Men,When a slum dweller spins a web of lies in pursuit of the upward mobility he has long craved his ruse could be especially dangerous for his young son
1898,The Binding,While visiting her fiancs mother in southern Italy a woman must fight the mysterious and malevolent curse intent on claiming her daughter
1899,Turkish Dance School,A woman recovering from an attempted suicide meets an aspiring doctor who takes a keen interest in her efforts to move forward in life through dance
1900,Vampires vs. the Bronx,Three gutsy kids from a rapidly gentrifying Bronx neighborhood stumble upon a sinister plot to suck all the life from their beloved community
1901,You've Got This,An ad creative and asuccessful exechave a great marriage  until he wants to be a dad just as her star is rising Then he brings someone new home
1902,All Because of You,After falling for a guest an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place
1903,An Ordinary Man,A war criminal in hiding begins to suspect that the maid his only confidant and contact with the outside world may be hiding something herself
1904,Carlos Almaraz: Playing with Fire,Mixing archival footage with interviews this film celebrates one of Los Angeless most influential painters and Chicano art activists from the 1970s
1905,Cold Harbour,When a war breaks out between competing gangs of smugglers in Cape Town South Africa an honest cop is pressured to work for a powerful crime lord
1906,Evil,A forensic psychologist partners with a Catholic priestintraining to investigate miracles and demonic possession in this supernatural drama
1907,Familiar Wife,After receiving a bizarre chance to go back in time a man wakes up to find that his whole life  including the person he married  is different
1908,Food Wars!: Shokugeki no Soma,Young chef Soma enters the prestigious Totsuki Culinary Academy where he must emerge victorious in overthetop cooking battles or face expulsion
1909,Free State of Jones,A Mississippi farmer turns outlaw as he leads a ragtag band of fellow Civil War deserters and escaped slaves in a rebellion against the Confederacy
1910,"Good Morning, Verônica",While hunting for a datingsite predator an underused cop discovers a husband and wife with a horrific secret  and a web of conspiracy hiding it
1911,Human Nature,From breakthrough science to the boundaries of morality this documentary spotlights a revelation in genetic modification research known as CRISPR
1912,Hunt for the Wilderpeople,A misadventure in the wilderness leads to lifechanging discoveries for a troubled orphan teen from the city and his belligerent foster father
1913,I'm Leaving Now,In this evocative documentary an undocumented immigrant plans to return to Mexico after 16 years but his family tells him he needs to stay in the US
1914,Journey of an African Colony,This docuseries delves into the untold stories and unsung heroes that paved Nigerias road to independence Based on the books by host Olasupo Shasore
1915,Oktoberfest: Beer & Blood,In 1900 Munich ambitious brewer Curt Prank uses brutal tactics on his quest to build a beer hall that will dominate the citys lucrative Oktoberfest
1916,Rize,This documentary explores krumping a fastpaced urban dance and follows the man that originated the phenomenon in South Central Los Angeles
1917,Secreto bien guardado,In 1940 Argentina a Jewish 17yearold on vacation with her family falls in love with a young Nazi lawyer staying at the same hotel
1918,Sword Art Online,A video game whiz helps create a new technology that enables players to guide their online avatars with their own bodies  but a dark twist emerges
1919,The American Game,A financially struggling young couples relationship is tested when the CEO of the company they work for tempts them with a nearly irresistible offer
1920,The Book of Sun,A high school senior sets out to make a nobudget horror film with his friend onetime rival and teacher but the project soon jeopardizes their future
1921,The Outpost,A group of vastly outnumbered US soldiers at a remote Afghanistan base must fend off a brutal offensive by Taliban fighters in the Battle of Kamdesh
1922,The Parkers,In this Moesha spinoff undergraduate Kim is joined at Santa Monica College by her mother Nikki who decides to go back to school with her daughter
1923,The Unicorn,A widowed father of two girls navigates the world of dating surprised to learn that many women consider him a hot commodity
1924,We Have Always Lived in the Castle,The fragile and secretive world of two sisters and their uncle crumbles when their charming cousin arrives with eyes toward the family fortune
1925,You Cannot Hide,A nurse and her daughter flee her husbands drugtrafficking past in Mexico and assume new identities in Spain but still face danger in Madrid
1926,American Murder: The Family Next Door,Using raw firsthand footage this documentary examines the disappearance of Shanann Watts and her children and the terrible events that followed
1927,Baxu and the Giants,A young girl grows increasingly concerned about the rhino poaching in her village when it begins to directly impact her impoverished family
1928,Black Butler,In Victorian London 12yearold business magnate Ciel Phantomhive thwarts dangers to the queen as hes watched over by his demon butler Sebastian
1929,Man with a Plan,When his wife Andi returns to work contractor Adam Burns becomes a stayathome dad and discovers that parenting is a tougher job than he realized
1930,Poacher,A daring farmer steals illicit ivory from a group of international terrorists and must elude their dangerous and deadly games
1931,The Boys in the Band,At a birthday party in 1968 New York a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths
1932,The Boys in the Band: Something Personal,Decades after his play first put gay life center stage Mart Crowley joins the cast and crew of the 2020 film to reflect on the storys enduring legacy
1933,Wentworth,Bea Smith is locked up while awaiting trial for the alleged attempted murder of her husband and must learn how life works in prison
1934,Bully,This eyeopening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies
1935,Michelle Buteau: Welcome to Buteaupia,Scenestealing queen Michelle Buteau dazzles with real talk on relationships parenthood cultural differences and the government workers who adore her
1936,Welcome to Sudden Death,At a basketball game an exSpecial Forces officer must face a group of techsavvy hostiles when a team owner and his daughter are taken hostage
1937,Amandla! A Revolution in Four Part Harmony,This documentary recounts the fascinating and littleknown role that music has played in the struggle to eradicate apartheid in South Africa
1938,Ankhon Dekhi,After a distressing incident a Delhi man vows to believe only what he can see but his new ideals soon take his life in extreme directions
1939,Dedh Ishqiya,After failing to win the heart of an aristocrats widow a thief plans to abduct her only to discover that there are others with the same idea
1940,Golmaal Returns,A mans relationship with his jealous wife enters choppy waters after he has to spend a night on a yacht with a woman hes rescued from gangsters
1941,Ishq Vishk,When the duplicitous Rajiv expresses his love for Payal a cruel lie kicks off a story of selfdiscovery and unexpected romance
1942,Ishqiya,A deceitful woman seduces two of her late husbands crooked friends into helping her hatch a nefarious kidnapping plot for a hefty ransom
1943,Jab We Met,Changing fortunes await a wealthy but dejected industrialist when he meets a spirited chatterbox on a train in this breezy Bollywood romantic comedy
1944,Mann,A smooth talker falls for a music teacher aboard a cruise but a cruel twist of fate hinders their plans to meet again months later
1945,Manorama Six Feet Under,A government employee and aspiring crime writer who is under investigation for corruption is asked by a politicians wife to spy on her husband
1946,Welcome,In this silly Bollywood farce the brothers of a Mafia princess set out on a comical mission to marry their sister into a respectable family
1947,"Whose Vote Counts, Explained",The right to vote is at the foundation of Americas democracy But not every vote is created equal How does the system work and can it be fixed
1948,Van Helsing,After three years in a coma Vanessa awakens to a world ravaged by vampires Now she and a motley band of fellow survivors fight to stay alive
1949,The Good Place,Due to an error selfabsorbed Eleanor Shellstrop arrives at the Good Place after her death Determined to stay she tries to become a better person
1950,Time Out,Raised in the privileged bubble of Delhis elite a teen is compelled to question his outlook on life and love when his older brother comes out as gay
1951,A Perfect Crime,This docuseries investigates the 1991 killing of politician Detlev Rohwedder an unsolved mystery at the heart of Germanys tumultuous reunification
1952,Mighty Little Bheem,An innocent toddlers boundless curiosity  and extraordinary might  lead to mischief and adventure in his small Indian town
1953,My Mother's Wound,After leaving the orphanage where he was raised a teen searches for his family only to find work at a farm where secrets of the past begin to surface
1954,Sneakerheads,Family man Devin falls back into his sneaker obsession after his pal Bobby talks him into a wheelingdealing scheme to score a mythical pair of kicks
1955,The School Nurse Files,Wielding a lightup sword through the dark corners of a high school a nurse with an unusual gift protects students from monsters only she can see
1956,Zulu Man in Japan,In this documentary South African rapper Nasty C hits the stage and streets of Tokyo introducing himself to the citys sights sounds and culture
1957,Real Steel,A struggling fighterturnedpromoter reconnects with his estranged son to convert an oldgeneration robot into a mighty World Robot Boxing contender
1958,The Chef Show,Writer director and food enthusiast Jon Favreau and chef Roy Choi explore food in and out of the kitchen with accomplished chefs and celebrity friends
1959,Enola Holmes,While searching for her missing mother intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord
1960,Kiss the Ground,Science experts and celebrity activists unpack the ways in which the earths soil may be the key to combating climate change and preserving the planet
1961,The Playbook,Coaches with championship rsums share their personal rules for success in sports and life in this reflective and inspiring documentary series
1962,A Love Song for Latasha,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising This documentary evocatively explores the 15yearolds life and dreams
1963,DTC Yukemuri Junjo Hen From High & Low,Dan Tettsu and Chiharu leave the battles of the SWORD district behind for a carefree road trip adventure and end up working in a hot spring resort
1964,High & Low The Movie,The five rival gangs ruling the SWORD district unite to face off against a 500member strong attack led by a legendary gang leader
1965,High & Low The Movie 2 / End of Sky,The peaceful truce in the SWORD district is violently disrupted by the intrusion of two brutal gangs causing loyalties and rivalries to erupt
1966,High & Low The Movie 3 / Final Mission,The Kuryu Group makes it their mission to takeover the SWORD district once and for all but the street gang alliance has a plan of their own
1967,High & Low The Red Rain,As the two younger Amamiya boys search for their missing big brother they uncover the truth about the tragedy that befell their family years ago
1968,High & Low The Worst,The street fighters of Oya High go up against the delinquent brawlers of Housen Academy in this actionpacked High  Low and Crows crossover
1969,Road To High & Low,Three inseparable friends are torn when one of them becomes a member of a predatory criminal syndicate threatening to overpower his old friends gang
1970,The Blue Elephant 2,When a former criminal psychiatrist discovers that a patient holds a secret that threatens his family he must resort to extreme measures to save them
1971,Bhaji In Problem,Married to two women  each unaware of the other  a man finds his double life threatened when an old friend who knows his notsolittle secret arrives
1972,Black,A smalltown man takes on a dangerous gangster to avenge his father a police officer who ended his own life after being framed in a deadly crime
1973,Fukrey Boyzzz,A troublemaking trio dreams big plays hard and stirs up all sorts of classroom mischief in this animated spinoff of the popular Hindi film franchise
1974,Saheb Biwi Aur Gangster Returns,Knotty love triangles and nefarious schemes arise when a noblemans plans to remarry fall into the cunning hands of his first wife and a vengeful rival
1975,Santa Banta Pvt Ltd,Passed off as spies two inept pals are sent to Fiji to rescue a kidnapped bureaucrat Soon enough theyre creating more problems than theyre solving
1976,The Royal Bengal Tiger,Knocked down by life one too many times a meek family man drastically transforms from shy to savage after an encounter with a mysterious friend
1977,Dolly Kitty Aur Woh Chamakte Sitare,A disillusioned Delhi wife and her newintown cousin navigate damning secrets dreams and their thorny dynamic on their respective roads to freedom
1978,Ratched,In 1947 Mildred Ratched begins working as a nurse at a leading psychiatric hospital But beneath her stylish exterior lurks a growing darkness
1979,The American Barbecue Showdown,Eight of the countrys best backyard smokers and pitmasters vie for the title of American Barbecue Champion in a fierce but friendly faceoff
1980,The Blacklist,After turning himself in a brilliant fugitive offers to help the FBI bag other baddies but only if rookie profiler Elizabeth Keen is his partner
1981,Whipped,Four buddies attend a class taught by a love guru who leads them to question their romantic attachments  until her hidden agenda comes to light
1982,Anaamika,As a woman scours Hyderabad for her missing husband she becomes entangled in a conspiracy that suggests theres more to the mystery than meets the eye
1983,Dragon's Dogma,Resurrected as an Arisen Ethan sets out to vanquish the Dragon that took his heart But with every demon he battles his humanity slips further away
1984,GIMS: On the Record,Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this upclose documentary
1985,Horrid Henry's Gross Day Out,Worlds collide when Henry makes plans to spend Saturday on the sofa watching a Gross Class Zero marathon  and his favorite characters come to life
1986,Nee Enge En Anbe,As a woman scours Hyderabad for her missing husband she becomes entangled in a conspiracy that suggests theres more to the mystery than meets the eye
1987,Residue,A young screenwriter returns to his hometown to write a script based on his childhood and discovers his neighborhood has been gentrified
1988,The Last Word,Suddenly a widow a woman rekindles her thirst for life by becoming a eulogist while navigating the existential landscape of death grief and love
1989,Baby,Fed up with their families and classmates two teen girls from a wealthy part of Rome are drawn to the citys underworld and start leading double lives
1990,Challenger,Engineers officials and the crew members families provide their perspective on the 1986 Space Shuttle Challenger disaster and its aftermath
1991,Criminal: UK,Within the walls of an interrogation room and with time running out London investigators go after three suspects each accused of a grievous crime
1992,Dr Jason Leong Hashtag Blessed,In this standup special former doctor Jason Leong gives his diagnoses on the nonsense of traditional healers businessclass showoffs and more
1993,Signs,When a young womans murder shows similarities to a decadeold cold case a new police commander must break the silence permeating an Owl Mountain town
1994,Sing On!,In this fun fastpaced music contest hosted by Tituss Burgess players sing their hearts out and try to hit the right notes to win up to 60000
1995,The Devil All The Time,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality
1996,The Paramedic,Unable to face his new reality in a wheelchair ngel develops a deadly obsession with the woman who left him and unleashes a sinister revenge plot
1997,The Take,After a mixup lands him in hot water a skilled pickpocket is forced to help a nononsense CIA operative track a terrorist group in Paris
1998,Call the Midwife,This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent
1999,Hope Frozen: A Quest to Live Twice,A Thai scientist and his family decide to cryonically freeze their cherished dying toddler This heartfelt documentary follows their journey
2000,Michael McIntyre: Showman,Charming comic Michael McIntyre talks family technology sharks accents and the time he confused himself for a world leader in this standup special
2001,Raising Victor Vargas,A suave teen sets his sights on a girl who seems beyond his reach But his game cant be confined to his tiny apartment and familys oldschool values
2002,Taco Chronicles,Many of the most popular taco styles have long rich littleknown histories Explore some of them in this eyeopening mouthwatering food adventure
2003,The Smurfs 2,Evil magician Gargamel continues his quest to tap the power of the Smurfs creating a pair of his own Smurfalikes called the Naughties
2004,Wish Upon a Unicorn,Sisters Mia and Emma move to their grandmothers farm far from the city and save a magical unicorn from local cowboys seeking its powers for themselves
2005,Lara and the Beat,When their glamorous fastpaced lifestyle comes to a screeching halt two sisters try to rebuild their fortunes through music and enterprise
2006,Buddi,The Buddis bounce spin glide  and giggle  through their magical world learning new things and sharing the joy of friendship
2007,Dad Wanted,What does a thrillseeker tween girl do when her mom forbids her to enter a BMX race Cast an actor with nothing to lose to play her approving dad
2008,Family Business,After learning France is about to legalize pot a downonhisluck entrepreneur and his family race to turn their butcher shop into a marijuana caf
2009,Girlfriends,Four close friends in Los Angeles challenge and support each other through lifes triumphs and disasters Sophisticated relatable and always funny
2010,How to Train Your Dragon 2,Hiccup Toothless and a mysterious dragon rider join forces to protect the island of Berk from a powerhungry warrior with a dragon army of his own
2011,Pets United,A streetsmart dog and a pampered cat join forces to lead a pack of unlikely heroes when their city is seized by its evil mayor  and his robot army
2012,The Barrier,One familys fight for survival in a future dystopian Madrid illustrates the disparity between two worlds separated by a fence  and so much more
2013,The Duchess,Katherines a single mom juggling her career her tween daughter her relationship with her boyfriend  and pondering getting pregnant with her ex
2014,Wonho Chung: Live in New York,At the Comic Strips first Arabic standup show Wonho Chung ratchets up the laughs by tackling unique names life in Jordan accents and more
2015,Aapla Manus,When a man falls from his balcony an investigator questions the victims family determined to uncover a darker truth behind the alleged accident
2016,Ani... Dr. Kashinath Ghanekar,From his singular career to his personal demons this biopic chronicles the short yet prolific life of the Marathi dentistturnedsuperstar
2017,Bhai: Vyakti Ki Valli - Poorvardha,This first of a twopart biopic depicts the early years that lay the foundation for beloved Marathi writer and comedian PL Deshpandes iconic career
2018,Bhai: Vyakti Ki Valli - Uttarardh,The second installment of PL Deshpandes biopic explores the Marathi humorists political journey philanthropic endeavors and personal life
2019,Cycle,When his prized bicycle is stolen an astrologers search turns into a journey of selfrealization  while the thieves learn a few lessons of their own
2020,Dhh,Convinced only a miracle can save them from failing school exams a trio of friends seek help from a magician To their surprise he gamely complies
2021,Greenleaf,Although members of the Greenleaf family run a Memphis megachurch their business and personal lives are tainted with greed adultery and other sins
2022,Julie and the Phantoms,Julie lost her passion for music when she lost her mom But when three ghostly guys appear and lift her spirits they decide to start a band together
2023,Kaagar,When an activist begins aiding a shrewd political advisor  also his girlfriends father personal agendas lead to betrayal as love and duty clash
2024,Night of Knots,Two exes run into each other at a wedding hall and realize they still harbor romantic feelings The one problem They just got married to other people
2025,PhotoCopy,Posing as her bubbly identical twin for a quiz contest a shy student crushes on a fellow participant who falls for her  thinking shes her sister
2026,Poshter Girl,In a town infamous for female infanticide a young womans arrival has local bachelors vying for her hand in marriage  but she has a bigger agenda
2027,Satria Heroes: Revenge of the Darkness,As he rebuilds society in a parallel universe a superhero must return to Earth to help his equally powerful friend defend the planet from evil rivals
2028,Son Of Adam,To escape conviction on criminal charges a businessman agrees to aid a risky police mission but his motives soon turn suspicious
2029,The Babysitter: Killer Queen,Two years after Cole survived a satanic blood cult hes living another nightmare high school And the demons from his past Still making his life hell
2030,Cargo,Aboard a spaceship where souls of the deceased are readied for reincarnation a lone crew members rigid existence is disrupted by a spry new assistant
2031,Cuties,Elevenyearold Amy starts to rebel against her conservative familys traditions when she becomes fascinated with a freespirited dance crew
2032,Get Organized with The Home Edit,Expert home organizers Clea and Joanna help celebrities and everyday clients edit categorize and contain their clutter to create stunning spaces
2033,La Línea: Shadow of Narco,A stones throw from Africa the Spanish beach town of La Lnea is a drug smuggling hot spot But the police and mayor are determined to change that
2034,So Much Love to Give,Fernando is a family man  equally committed to each of his two families But one wrong turn brings them crashing together
2035,The Social Dilemma,This documentarydrama hybrid explores the dangerous human impact of social networking with tech experts sounding the alarm on their own creations
2036,#Alive,As a grisly virus rampages a city a lone man stays locked inside his apartment digitally cut off from seeking help and desperate to find a way out
2037,Record of Youth,Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams
2038,My Octopus Teacher,A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest learning as the animal shares the mysteries of her world
2039,Toll Booth,A toll booth operators mundane life is upended when hes reassigned to a remote spot where he finds intriguing strangers  and a new side to himself
2040,Transformers: Cyberverse,Optimus Prime and the AllSpark are missing  and only a memoryscrambled Bumblebee holds the key to finding them in this animated scifi series
2041,"Waiting for ""Superman""",This dynamic documentary weaves together stories about students educators and reformers to shed light on Americas failing public school system
2042,Cleverman,In the near future physically powerful beings known as Hairies struggle to survive in a segregated society dominated by hostile humans
2043,Villain,Fresh out of prison an excon tries to save his debtridden brother and the family pub until local mobsters draw him back to a criminal underworld
2044,Away,Commander Emma Green leaves behind her husband and daughter to lead an international crew of astronauts on a perilous threeyear mission to Mars
2045,I'm Thinking of Ending Things,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm
2046,Kandasamys: The Wedding,With their clashing demands the mothers of both bride and groom turn wedding prep into comical chaos in this sequel to Keeping Up With the Kandasamys
2047,Spirit Riding Free: Riding Academy,A new chapter begins for Lucky and her friends as they leave Miradero behind to live and learn at the prestigious Palomino Bluffs Riding Academy
2048,The Lost Okoroshi,A disillusioned security guard transforms into a masquerade channeling ancestral spirits as he roams the streets of Lagos
2049,You're My Boss,Pong a corporate assistant poses as his companys president in order to help Georgina a marketing executive close a crucial business deal
2050,Afonso Padilha: Classless,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set
2051,Ave Maryam,A devoted nun who cares for her elder sisters must choose between upholding her vows or pursuing her forbidden feelings for a fascinating pastor
2052,"Love, Guaranteed",Sparks fly when a crusading but cashstrapped attorney takes on a charming client looking to sue a dating site that guarantees its users will find love
2053,Young Wallander,An incendiary hate crime stirs civil unrest fasttracking rookie cop Kurt Wallander to detective in this origin story for the popular character
2054,Chef's Table: BBQ,The Emmynominated series delves into the juicy smoky world of barbecue visiting acclaimed chefs and pitmasters in the US Australia and Mexico
2055,Freaks – You're One of Us,Tipped by a mysterious tramp a meek fry cook discovers she has superpowers  and kindred spirits  and uncovers an unsavory widespread conspiracy
2056,Hotel for Dogs,Placed in a foster home that doesnt allow pets 16yearold Andi and her younger brother Bruce turn an abandoned hotel into a home for their dog
2057,Sky Tour: The Movie,From the preparations to the performances this documentary showcases Vietnamese pop idol Sn Tng MTP and the passion behind his Sky Tour concerts
2058,The Witcher: A Look Inside the Episodes,With series creator Lauren S Hissrich as your guide take an indepth journey into the stories and themes powering the first season of The Witcher
2059,Adrift,A young couples sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events
2060,Always Be My Maybe,After being unexpectedly dumped by their respective lovers a man and a woman have a chance meeting at a resort and embark on a unique relationship
2061,Barbie Princess Adventure,Through music and magic Barbie learns what its like to be a modern princess when she trades places with a royal lookalike
2062,Blue Exorcist,Determined to throw off the curse of being Satans illegitimate son Rin enters the True Cross Academy to become an exorcist just like his mentor
2063,Bookmarks,Celebrity readers share childrens books by Black authors to spark kidfriendly conversations about empathy equality selflove and antiracism
2064,Borgen,A shocking turn of events puts Birgitte Nyborg in the Danish prime ministers seat as her countrys first female leader in this landmark drama
2065,Children of the Sea,Ruka spends her summer at the aquarium where shes drawn into an enigmatic aquatic event alongside two mysterious boys raised in the ocean
2066,Erased,Satoru Fujinuma can travel back in time to save others lives When he wakes up 18 years in the past he has a chance to save his murdered classmates
2067,Fate/Grand Order -First Order-,Discovering that humanity is facing extinction a new recruit to the Chaldea Security Organization goes back in time in order to save the future
2068,Felipe Esparza: Bad Decisions,Two live performances one in English and one in Spanish No matter the language Felipe Esparza is muy muy
2069,H,At a dysfunctional hospital in Paris three bumbling eccentric medical employees embark on zany misadventures with surgical imprecision
2070,Heidi,A plucky young orphan sent to live with her grandfather in the mountains discovers wonder and adventure around every corner
2071,Puss in Boots,The fabled feline heads to the Land of Giants with friends Humpty Dumpty and Kitty Softpaws on a quest to nab its greatest treasure the Golden Goose
2072,Sex Drive,Eager to hook up with a woman he met online 18yearold Ian embarks on an epic road trip that speeds straight toward trouble in this raunchy comedy
2073,"Sister, Sister",Separated at birth twin sisters Tia Landry and Tamera Campbell reunite after 14 years and soon move in together blending families and personalities
2074,Soldier,On the run from Indian police a mysterious man escapes to Australia and falls in love with the daughter of an Indian criminal who lives there
2075,"Take the Ball, Pass the Ball",Through firsthand accounts and analysis this football documentary details the dominance of FC Barcelona from 20082012 under manager Pep Guardiola
2076,The Boss Baby: Get That Baby!,Think youve got what it takes to be the boss This interactive special puts your skills to the test and matches you up with one of 16 jobs at Baby Corp
2077,The Match,One football match on a dirt pitch near Rome becomes a day of reckoning as a young player his coach and their teams owner wrestle internal demons
2078,The Promised Neverland,When three gifted kids learn that their isolated orphanage isnt the haven they thought they vow to lead the other children in a risky escape plan
2079,The Smurfs,When evil Gargamel tries to capture them the Smurfs flee their woodland home pass through a magic portal and find themselves stranded in New York
2080,Thomas and Friends,This animated childrens series follows the adventures of Thomas a cheerful blue tank engine who lives on the island of Sodor
2081,True: Friendship Day,When a giant GrippityGrab snags Grizeldas friendship bracelet and turns her into a mermaid True heads under the sea with magic wishes to save the day
2082,Maniyarayile Ashokan,When his unlucky horoscope doesnt bode well for his future wife an earnest bachelor goes to surprising lengths to get the family hes always wanted
2083,The Debt Collector 2,French and Sue have two days to collect on three debts using as much force as it takes  all while evading the wrath of a crime lord out for revenge
2084,All Together Now,An optimistic talented teen clings to a huge secret Shes homeless and living on a bus When tragedy strikes can she learn to accept a helping hand
2085,I AM A KILLER: RELEASED,In this crime docuseries spinoff a convict is paroled 30 years after being sentenced to death for murder Then he makes a stunning confession
2086,Masaba Masaba,Real life momdaughter duo Neena and Masaba Gupta play versions of themselves in this playful fictional peek into their lives in fashion and film
2087,Santana,Two brothers  one a narcotics agent and the other a general finally discover the identity of the drug lord who murdered their parents decades ago
2088,Unknown Origins,A very chiseled but somber detective must find a serial killer who leaves clues that only his mentors nerdy comicsloving son can decipher
2089,Aggretsuko,Frustrated with her thankless office job Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work
2090,Edge of Seventeen,A 17yearold confronts confusion and heartbreak as he rediscovers his sexuality in this story about coming out and its social consequences
2091,The Bridge Curse,A group of university students decides to test an urban legend about the ghost of a female student that haunts a campus bridge
2092,The Young Messiah,Tormented by a demon and on the run from a Roman centurion a 7yearold Jesus and his parents Mary and Joseph flee Egypt for Nazareth
2093,Her Mother's Killer,Nearly 30 years after her moms murder a political strategist launches a calculated plan to ruin the Colombian presidential candidate who killed her
2094,Lingua Franca,An undocumented trans woman seeking legal status in the US becomes romantically involved with the grandson of the elderly woman she cares for
2095,Making The Witcher,Journey into the extraordinary world of The Witcher  from casting the roles to Jaskiers catchy song  in this behindthescenes look at the series
2096,Million Dollar Beach House,The competition is fierce  and the drama undeniable  as a group of young and hungry agents try to seal the deal on luxury listings in the Hamptons
2097,Rising Phoenix,Elite athletes and insiders reflect on the Paralympic Games and examine how they impact a global understanding of disability diversity and excellence
2098,Emily's Wonder Lab,Scienceloving host Emily Calandrelli makes STEAM fun with activities demonstrations and athome experiments thatll make you think  and blow your mind
2099,Trinkets,A grieving teen finds an unexpected connection with two classmates at her new high school after they all land in the same Shoplifters Anonymous group
2100,Septembers of Shiraz,In postrevolution Tehran a wealthy Jewish businessman is summarily jailed and tortured but along with his wife he fights for answers and freedom
2101,Baewatch: Parental Guidance,Couples go on a romantic getaway to test their relationships not knowing their families are calling the shots and cringing over their every move
2102,Ojos in d' House,After a newly rich family moves into an upperclass neighborhood they try to keep their matriarchs obsessive pursuit of social acceptance in check
2103,Class of '83,Demoted to an academy job a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld
2104,Dark Forces,In search of his sister a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress
2105,Hoops,A foulmouthed high school basketball coach is sure hell hit the big leagues if he can only turn his terrible team around Good luck with that
2106,Rust Valley Restorers,Oldschool auto collector Mike Hall his pal Avery Shoaf and son Connor Hall go the extra mile to restore retro cars  and hopefully turn a profit
2107,The Sleepover,What do you do if your parents are kidnapped by a crew of international thieves You begin a wild overnight adventure  complete with spy gear
2108,Goedam,When night falls on the city shadows and spirits come alive in this horror anthology series centered on urban legends
2109,John Was Trying to Contact Aliens,A rural electronics whiz broadcasts radio signals into space and monitors for signs of aliens but makes a more important connection here on Earth
2110,Scarecrow,When his former partners vote to sell off a pricey piece of stolen jewelry a thief recruits his grandson to help him retain it and repent for his deed
2111,The Crimes That Bind,When her son is accused of raping and trying to murder his exwife Alicia embarks on a journey that will change her life forever
2112,DeMarcus Family Rules,Rascal Flatts bassist Jay DeMarcus and exbeauty queen Allison DeMarcus write their own rules for juggling family and fun in this reality show
2113,High Score,This docuseries traces the history of classic video games featuring insights from the innovators who brought these worlds and characters to life
2114,Little Singham: Kaal Ka Badla,Little Singhams biggest enemy the demon Kaal is back and badder than ever  but this time will he succeed in destroying the worlds best kid cop
2115,Drunk Parents,Two desperate parents go to extreme lengths to hide their dire financial straits from their daughter and friends
2116,Meet the In-Laws,When their respective parents oppose their union a newly engaged couple learns that the reasons for pushback run deeper than just tribal differences
2117,Crazy Awesome Teachers,When staff salaries get stolen at his school a reluctant new teacher sets out to recoup the money and soon discovers the joys of teaching
2118,Glitch Techs,Two teens work at a game store as a front for their actual job Hunting video game monsters whove broken out into the real world
2119,Islands of Faith,Through the lens of faiths and cultures in seven provinces in Indonesia this documentary follows individuals who strive to address climate change
2120,Les Misérables,The musical version of Victor Hugos epic tale of love and sacrifice first produced for the stage in 1985 now receives the bigscreen treatment
2121,Seventh Son,In the 18th century apprentice exorcist Tom Ward is the lynchpin in a battle between good and evil when imprisoned witch Mother Malkin escapes
2122,Stranger,With the help of a gutsy female detective a prosecutor who has lost the ability to feel empathy tackles a murder case amid political corruption
2123,Dérè: An African Tale,After experiencing a tragic loss a woman must resist a new family dynamic that could control the future of her fathers company and her life
2124,Rita,Independent outspoken and adored by her students schoolteacher Rita fares less well with adults in this comedydrama from Denmark
2125,Takki,In Jeddah Saudi Arabia a young aspiring filmmaker and his circle of friends grapple with family expectations gender roles romance and rivalry
2126,What's Your Raashee?,To protect his family from ruin Yogesh must marry his dream girl in only ten days so he rushes into dating women with different astrological signs
2127,3%,In a future where the elite inhabit an island paradise far from the crowded slums you get one chance to join the 3 saved from squalor
2128,Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,With highlights from the 2020 tourney this program offers an inside look at the global showcase for womens cricket  the ICC Womens T20 World Cup
2129,Fearless,A teen gamer is forced to level up to fulltime babysitter when his favorite video game drops three superpowered infants from space into his backyard
2130,Nigerian Prince,When a stubborn American teenager is sent to Nigeria by his mother his cousins scamming business becomes a viable option for securing a return flight
2131,Octonauts & the Caves of Sac Actun,The Octonauts embark on an underwater adventure navigating a set of challenging caves to help a small octopus friend return home to the Caribbean Sea
